"","CVE","NOM_MUN","total","covid","covid_1"
"39","15054","Metepec",79,NA,"Uno o más casos"
"40","15055","Mexicaltzingo",1,NA,"Uno o más casos"
"41","15056","Morelos",1,NA,"Uno o más casos"
"42","15060","Nicolás Romero",191,NA,"Uno o más casos"
"43","15062","Ocoyoacac",16,NA,"Uno o más casos"
"44","15063","Ocuilan",2,NA,"Uno o más casos"
"45","15064","El Oro",12,NA,"Uno o más casos"
"46","15066","Otzoloapan",0,NA,"0 casos"
"47","15067","Otzolotepec",11,NA,"Uno o más casos"
"48","15071","Polotitlán",0,NA,"0 casos"
"49","15072","Rayón",2,NA,"Uno o más casos"
"50","15073","San Antonio la Isla",6,NA,"Uno o más casos"
"51","15074","San Felipe del Progreso",20,NA,"Uno o más casos"
"52","15076","San Mateo Atenco",11,NA,"Uno o más casos"
"53","15077","San Simón de Guerrero",1,NA,"Uno o más casos"
"54","15078","Santo Tomás",0,NA,"0 casos"
"55","15079","Soyaniquilpan de Juárez",3,NA,"Uno o más casos"
"56","15080","Sultepec",1,NA,"Uno o más casos"
"57","15082","Tejupilco",2,NA,"Uno o más casos"
"58","15085","Temascalcingo",2,NA,"Uno o más casos"
"59","15086","Temascaltepec",0,NA,"0 casos"
"60","15087","Temoaya",23,NA,"Uno o más casos"
"61","15088","Tenancingo",10,NA,"Uno o más casos"
"62","15090","Tenango del Valle",17,NA,"Uno o más casos"
"63","15095","Tepotzotlán",20,NA,"Uno o más casos"
"64","15097","Texcaltitlán",0,NA,"0 casos"
"65","15098","Texcalyacac",1,NA,"Uno o más casos"
"66","15101","Tianguistenco",11,NA,"Uno o más casos"
"67","15102","Timilpan",1,NA,"Uno o más casos"
"68","15105","Tlatlaya",0,NA,"0 casos"
"69","15106","Toluca",234,NA,"Uno o más casos"
"70","15107","Tonatico",0,NA,"0 casos"
"71","15110","Valle de Bravo",8,NA,"Uno o más casos"
"72","15111","Villa de Allende",1,NA,"Uno o más casos"
"73","15112","Villa del Carbón",3,NA,"Uno o más casos"
"74","15113","Villa Guerrero",2,NA,"Uno o más casos"
"75","15114","Villa Victoria",4,NA,"Uno o más casos"
"76","15115","Xonacatlán",19,NA,"Uno o más casos"
"77","15116","Zacazonapan",1,NA,"Uno o más casos"
"78","15117","Zacualpan",0,NA,"0 casos"
"79","15118","Zinacantepec",34,NA,"Uno o más casos"
"80","15119","Zumpahuacán",2,NA,"Uno o más casos"
"81","15123","Luvianos",0,NA,"0 casos"
"82","15124","San José del Rincón",6,NA,"Uno o más casos"
"83","02005","Playas de Rosarito",38,NA,"Uno o más casos"
"84","02004","Tijuana",1318,NA,"Uno o más casos"
"85","02001","Ensenada",125,NA,"Uno o más casos"
"86","02002","Mexicali",1005,NA,"Uno o más casos"
"87","02003","Tecate",87,NA,"Uno o más casos"
"88","03009","Loreto",0,NA,"0 casos"
"89","03002","Mulegé",13,NA,"Uno o más casos"
"90","03001","Comondú",7,NA,"Uno o más casos"
"91","03003","La Paz",158,NA,"Uno o más casos"
"92","03008","Los Cabos",222,NA,"Uno o más casos"
"93","04003","Carmen",113,NA,"Uno o más casos"
"94","04007","Palizada",3,NA,"Uno o más casos"
"95","04001","Calkiní",5,NA,"Uno o más casos"
"96","04005","Hecelchakán",3,NA,"Uno o más casos"
"97","04002","Campeche",62,NA,"Uno o más casos"
"98","04011","Candelaria",13,NA,"Uno o más casos"
"99","04010","Calakmul",3,NA,"Uno o más casos"
"100","04009","Escárcega",1,NA,"Uno o más casos"
"101","04008","Tenabo",1,NA,"Uno o más casos"
"102","04006","Hopelchén",1,NA,"Uno o más casos"
"103","04004","Champotón",6,NA,"Uno o más casos"
"104","05030","Saltillo",62,NA,"Uno o más casos"
"105","05006","Castaños",10,NA,"Uno o más casos"
"106","05027","Ramos Arizpe",8,NA,"Uno o más casos"
"107","05026","Progreso",0,NA,"0 casos"
"108","05015","Juárez",1,NA,"Uno o más casos"
"109","05013","Hidalgo",0,NA,"0 casos"
"110","05005","Candela",0,NA,"0 casos"
"111","05004","Arteaga",2,NA,"Uno o más casos"
"112","05035","Torreón",97,NA,"Uno o más casos"
"113","05038","Zaragoza",0,NA,"0 casos"
"114","05037","Villa Unión",0,NA,"0 casos"
"115","05036","Viesca",1,NA,"Uno o más casos"
"116","05034","Sierra Mojada",0,NA,"0 casos"
"117","05033","San Pedro",8,NA,"Uno o más casos"
"118","05032","San Juan de Sabinas",3,NA,"Uno o más casos"
"119","05031","San Buenaventura",2,NA,"Uno o más casos"
"120","05029","Sacramento",20,NA,"Uno o más casos"
"121","05028","Sabinas",1,NA,"Uno o más casos"
"122","05025","Piedras Negras",26,NA,"Uno o más casos"
"123","05024","Parras",0,NA,"0 casos"
"124","05023","Ocampo",5,NA,"Uno o más casos"
"125","05022","Nava",0,NA,"0 casos"
"126","05021","Nadadores",2,NA,"Uno o más casos"
"127","05020","Múzquiz",5,NA,"Uno o más casos"
"128","05019","Morelos",2,NA,"Uno o más casos"
"129","05018","Monclova",243,NA,"Uno o más casos"
"130","05017","Matamoros",21,NA,"Uno o más casos"
"131","05016","Lamadrid",0,NA,"0 casos"
"132","05014","Jiménez",1,NA,"Uno o más casos"
"133","05012","Guerrero",0,NA,"0 casos"
"134","05011","General Cepeda",0,NA,"0 casos"
"135","05010","Frontera",38,NA,"Uno o más casos"
"136","05009","Francisco I. Madero",2,NA,"Uno o más casos"
"137","05008","Escobedo",2,NA,"Uno o más casos"
"138","05007","Cuatro Ciénegas",8,NA,"Uno o más casos"
"139","05003","Allende",1,NA,"Uno o más casos"
"140","05002","Acuña",13,NA,"Uno o más casos"
"141","05001","Abasolo",0,NA,"0 casos"
"142","06001","Armería",2,NA,"Uno o más casos"
"143","06002","Colima",4,NA,"Uno o más casos"
"144","06003","Comala",0,NA,"0 casos"
"145","06004","Coquimatlán",1,NA,"Uno o más casos"
"146","06005","Cuauhtémoc",3,NA,"Uno o más casos"
"147","06006","Ixtlahuacán",0,NA,"0 casos"
"148","06007","Manzanillo",26,NA,"Uno o más casos"
"149","06008","Minatitlán",1,NA,"Uno o más casos"
"150","06009","Tecomán",3,NA,"Uno o más casos"
"151","06010","Villa de Álvarez",6,NA,"Uno o más casos"
"152","07027","Chiapa de Corzo",10,NA,"Uno o más casos"
"153","07101","Tuxtla Gutiérrez",141,NA,"Uno o más casos"
"154","07099","La Trinitaria",0,NA,"0 casos"
"155","07102","Tuxtla Chico",0,NA,"0 casos"
"156","07055","Metapa",0,0,"0 casos"
"157","07115","Maravilla Tenejapa",0,NA,"0 casos"
"158","07059","Ocosingo",9,NA,"Uno o más casos"
"159","07089","Tapachula",50,NA,"Uno o más casos"
"160","07041","La Independencia",2,NA,"Uno o más casos"
"161","07003","Acapetahua",0,NA,"0 casos"
"162","07032","Escuintla",1,NA,"Uno o más casos"
"163","07050","La Libertad",0,NA,"0 casos"
"164","07097","Tonalá",22,NA,"Uno o más casos"
"165","07092","Tecpatán",3,NA,"Uno o más casos"
"166","07090","Tapalapa",0,0,"0 casos"
"167","07088","Sunuapa",0,NA,"0 casos"
"168","07079","San Fernando",2,NA,"Uno o más casos"
"169","07074","Reforma",17,NA,"Uno o más casos"
"170","07062","Ostuacán",2,NA,"Uno o más casos"
"171","07060","Ocotepec",0,NA,"0 casos"
"172","07048","Juárez",2,NA,"Uno o más casos"
"173","07043","Ixtacomitán",0,NA,"0 casos"
"174","07033","Francisco León",0,NA,"0 casos"
"175","07025","Chapultenango",0,NA,"0 casos"
"176","07021","Copainalá",2,NA,"Uno o más casos"
"177","07009","Arriaga",3,NA,"Uno o más casos"
"178","07042","Ixhuatán",0,NA,"0 casos"
"179","07040","Huixtla",1,NA,"Uno o más casos"
"180","07039","Huitiupán",0,NA,"0 casos"
"181","07038","Huixtán",0,NA,"0 casos"
"182","07037","Huehuetán",1,NA,"Uno o más casos"
"183","07035","Frontera Hidalgo",0,NA,"0 casos"
"184","07034","Frontera Comalapa",2,NA,"Uno o más casos"
"185","07031","Chilón",1,NA,"Uno o más casos"
"186","07030","Chicomuselo",1,NA,"Uno o más casos"
"187","07029","Chicoasén",1,NA,"Uno o más casos"
"188","07028","Chiapilla",2,NA,"Uno o más casos"
"189","07026","Chenalhó",2,NA,"Uno o más casos"
"190","07024","Chanal",0,NA,"0 casos"
"191","07023","Chamula",1,NA,"Uno o más casos"
"192","07022","Chalchihuitán",0,NA,"0 casos"
"193","07019","Comitán de Domínguez",10,NA,"Uno o más casos"
"194","07018","Coapilla",0,NA,"0 casos"
"195","07016","Catazajá",1,NA,"Uno o más casos"
"196","07015","Cacahoatán",3,NA,"Uno o más casos"
"197","07014","El Bosque",0,NA,"0 casos"
"198","07013","Bochil",0,NA,"0 casos"
"199","07010","Bejucal de Ocampo",0,0,"0 casos"
"200","07008","Angel Albino Corzo",0,NA,"0 casos"
"201","07007","Amatenango del Valle",0,NA,"0 casos"
"202","07006","Amatenango de la Frontera",0,NA,"0 casos"
"203","07005","Amatán",0,NA,"0 casos"
"204","07004","Altamirano",3,NA,"Uno o más casos"
"205","07002","Acala",6,NA,"Uno o más casos"
"206","07001","Acacoyagua",0,NA,"0 casos"
"207","07119","Santiago el Pinar",0,0,"0 casos"
"208","07118","San Andrés Duraznal",0,NA,"0 casos"
"209","07117","Montecristo de Guerrero",0,0,"0 casos"
"210","07116","Marqués de Comillas",0,NA,"0 casos"
"211","07114","Benemérito de las Américas",1,NA,"Uno o más casos"
"212","07113","Aldama",0,NA,"0 casos"
"213","07112","San Juan Cancuc",0,NA,"0 casos"
"214","07111","Zinacantán",0,NA,"0 casos"
"215","07110","San Lucas",1,NA,"Uno o más casos"
"216","07109","Yajalón",7,NA,"Uno o más casos"
"217","07108","Villaflores",7,NA,"Uno o más casos"
"218","07107","Villa Corzo",1,NA,"Uno o más casos"
"219","07106","Venustiano Carranza",10,NA,"Uno o más casos"
"220","07105","Unión Juárez",0,NA,"0 casos"
"221","07104","Tzimol",0,NA,"0 casos"
"222","07103","Tuzantán",0,NA,"0 casos"
"223","07100","Tumbalá",7,NA,"Uno o más casos"
"224","07098","Totolapa",1,NA,"Uno o más casos"
"225","07094","Teopisca",1,NA,"Uno o más casos"
"226","07093","Tenejapa",0,NA,"0 casos"
"227","07091","Tapilula",1,NA,"Uno o más casos"
"228","07087","Suchiate",0,NA,"0 casos"
"229","07086","Suchiapa",1,NA,"Uno o más casos"
"230","07084","Solosuchiapa",0,NA,"0 casos"
"231","07082","Sitalá",0,NA,"0 casos"
"232","07081","Simojovel",1,NA,"Uno o más casos"
"233","07080","Siltepec",0,NA,"0 casos"
"234","07077","Salto de Agua",2,NA,"Uno o más casos"
"235","07076","Sabanilla",0,NA,"0 casos"
"236","07075","Las Rosas",0,NA,"0 casos"
"237","07073","Rayón",0,NA,"0 casos"
"238","07072","Pueblo Nuevo Solistahuacán",0,NA,"0 casos"
"239","07071","Villa Comaltitlán",0,NA,"0 casos"
"240","07070","El Porvenir",0,NA,"0 casos"
"241","07069","Pijijiapan",2,NA,"Uno o más casos"
"242","07068","Pichucalco",4,NA,"Uno o más casos"
"243","07067","Pantepec",0,NA,"0 casos"
"244","07066","Pantelhó",0,NA,"0 casos"
"245","07065","Palenque",28,NA,"Uno o más casos"
"246","07064","Oxchuc",0,NA,"0 casos"
"247","07063","Osumacinta",0,NA,"0 casos"
"248","07058","Nicolás Ruíz",1,NA,"Uno o más casos"
"249","07057","Motozintla",3,NA,"Uno o más casos"
"250","07056","Mitontic",0,NA,"0 casos"
"251","07054","Mazatán",0,NA,"0 casos"
"252","07053","Mazapa de Madero",0,NA,"0 casos"
"253","07052","Las Margaritas",1,NA,"Uno o más casos"
"254","07051","Mapastepec",0,NA,"0 casos"
"255","07049","Larráinzar",0,NA,"0 casos"
"256","07047","Jitotol",0,NA,"0 casos"
"257","07045","Ixtapangajoya",1,NA,"Uno o más casos"
"258","07044","Ixtapa",0,NA,"0 casos"
"259","07096","Tila",2,NA,"Uno o más casos"
"260","07085","Soyaló",1,NA,"Uno o más casos"
"261","07046","Jiquipilas",0,NA,"0 casos"
"262","07036","La Grandeza",0,0,"0 casos"
"263","07011","Bella Vista",0,NA,"0 casos"
"264","07061","Ocozocoautla de Espinosa",4,NA,"Uno o más casos"
"265","07017","Cintalapa",0,NA,"0 casos"
"266","07083","Socoltenango",0,NA,"0 casos"
"267","07020","La Concordia",0,NA,"0 casos"
"268","07012","Berriozábal",4,NA,"Uno o más casos"
"269","07078","San Cristóbal de las Casas",40,NA,"Uno o más casos"
"270","08006","Bachíniva",5,NA,"Uno o más casos"
"271","08037","Juárez",456,NA,"Uno o más casos"
"272","08013","Casas Grandes",0,NA,"0 casos"
"273","08050","Nuevo Casas Grandes",3,NA,"Uno o más casos"
"274","08053","Praxedis G. Guerrero",0,NA,"0 casos"
"275","08005","Ascensión",1,NA,"Uno o más casos"
"276","08025","Gómez Farías",0,NA,"0 casos"
"277","08020","Chínipas",0,NA,"0 casos"
"278","08023","Galeana",1,NA,"Uno o más casos"
"279","08028","Guadalupe",2,NA,"Uno o más casos"
"280","08030","Guazapares",0,NA,"0 casos"
"281","08035","Janos",0,NA,"0 casos"
"282","08040","Madera",0,NA,"0 casos"
"283","08041","Maguarichi",0,NA,"0 casos"
"284","08043","Matachí",0,NA,"0 casos"
"285","08051","Ocampo",0,NA,"0 casos"
"286","08063","Temósachic",1,NA,"Uno o más casos"
"287","08065","Urique",0,NA,"0 casos"
"288","08066","Uruachi",0,0,"0 casos"
"289","08029","Guadalupe y Calvo",1,NA,"Uno o más casos"
"290","08046","Morelos",0,NA,"0 casos"
"291","08047","Moris",0,NA,"0 casos"
"292","08002","Aldama",1,NA,"Uno o más casos"
"293","08055","Rosales",2,NA,"Uno o más casos"
"294","08021","Delicias",10,NA,"Uno o más casos"
"295","08045","Meoqui",3,NA,"Uno o más casos"
"296","08001","Ahumada",3,NA,"Uno o más casos"
"297","08017","Cuauhtémoc",6,NA,"Uno o más casos"
"298","08054","Riva Palacio",0,NA,"0 casos"
"299","08032","Hidalgo del Parral",8,NA,"Uno o más casos"
"300","08003","Allende",0,NA,"0 casos"
"301","08011","Camargo",1,NA,"Uno o más casos"
"302","08036","Jiménez",2,NA,"Uno o más casos"
"303","08038","Julimes",1,NA,"Uno o más casos"
"304","08052","Ojinaga",1,NA,"Uno o más casos"
"305","08062","Saucillo",1,NA,"Uno o más casos"
"306","08042","Manuel Benavides",0,NA,"0 casos"
"307","08007","Balleza",0,NA,"0 casos"
"308","08008","Batopilas",0,NA,"0 casos"
"309","08009","Bocoyna",1,NA,"Uno o más casos"
"310","08010","Buenaventura",2,NA,"Uno o más casos"
"311","08012","Carichí",0,NA,"0 casos"
"312","08014","Coronado",0,NA,"0 casos"
"313","08015","Coyame del Sotol",0,NA,"0 casos"
"314","08016","La Cruz",0,NA,"0 casos"
"315","08018","Cusihuiriachi",0,NA,"0 casos"
"316","08022","Dr. Belisario Domínguez",0,0,"0 casos"
"317","08024","Santa Isabel",0,NA,"0 casos"
"318","08026","Gran Morelos",0,NA,"0 casos"
"319","08027","Guachochi",4,NA,"Uno o más casos"
"320","08031","Guerrero",1,NA,"Uno o más casos"
"321","08033","Huejotitán",0,NA,"0 casos"
"322","08034","Ignacio Zaragoza",0,NA,"0 casos"
"323","08039","López",0,NA,"0 casos"
"324","08044","Matamoros",0,NA,"0 casos"
"325","08048","Namiquipa",7,NA,"Uno o más casos"
"326","08049","Nonoava",0,NA,"0 casos"
"327","08056","Rosario",0,0,"0 casos"
"328","08057","San Francisco de Borja",0,0,"0 casos"
"329","08058","San Francisco de Conchos",0,NA,"0 casos"
"330","08059","San Francisco del Oro",0,NA,"0 casos"
"331","08060","Santa Bárbara",1,NA,"Uno o más casos"
"332","08061","Satevó",0,NA,"0 casos"
"333","08064","El Tule",0,0,"0 casos"
"334","08067","Valle de Zaragoza",0,NA,"0 casos"
"335","08019","Chihuahua",205,NA,"Uno o más casos"
"336","08004","Aquiles Serdán",0,NA,"0 casos"
"337","09002","Azcapotzalco",476,NA,"Uno o más casos"
"338","09005","Gustavo A. Madero",1351,NA,"Uno o más casos"
"339","09016","Miguel Hidalgo",509,NA,"Uno o más casos"
"340","09006","Iztacalco",626,NA,"Uno o más casos"
"341","09017","Venustiano Carranza",514,NA,"Uno o más casos"
"342","09007","Iztapalapa",2093,NA,"Uno o más casos"
"343","10007","Gómez Palacio",28,NA,"Uno o más casos"
"344","10034","Tamazula",3,NA,"Uno o más casos"
"345","10037","Topia",0,NA,"0 casos"
"346","10038","Vicente Guerrero",1,NA,"Uno o más casos"
"347","10039","Nuevo Ideal",0,NA,"0 casos"
"348","10035","Tepehuanes",0,NA,"0 casos"
"349","10033","Súchil",0,NA,"0 casos"
"350","10027","San Juan de Guadalupe",0,NA,"0 casos"
"351","10031","Santa Clara",0,NA,"0 casos"
"352","10001","Canatlán",0,NA,"0 casos"
"353","10002","Canelas",0,NA,"0 casos"
"354","10003","Coneto de Comonfort",0,NA,"0 casos"
"355","10004","Cuencamé",0,NA,"0 casos"
"356","10005","Durango",47,NA,"Uno o más casos"
"357","10008","Guadalupe Victoria",19,NA,"Uno o más casos"
"358","10010","Hidalgo",1,NA,"Uno o más casos"
"359","10011","Indé",0,NA,"0 casos"
"360","10013","Mapimí",1,NA,"Uno o más casos"
"361","10014","Mezquital",0,NA,"0 casos"
"362","10015","Nazas",2,NA,"Uno o más casos"
"363","10016","Nombre de Dios",1,NA,"Uno o más casos"
"364","10018","El Oro",1,NA,"Uno o más casos"
"365","10019","Otáez",1,NA,"Uno o más casos"
"366","10020","Pánuco de Coronado",0,NA,"0 casos"
"367","10021","Peñón Blanco",0,NA,"0 casos"
"368","10022","Poanas",3,NA,"Uno o más casos"
"369","10023","Pueblo Nuevo",2,NA,"Uno o más casos"
"370","10024","Rodeo",0,NA,"0 casos"
"371","10025","San Bernardo",2,NA,"Uno o más casos"
"372","10026","San Dimas",0,NA,"0 casos"
"373","10028","San Juan del Río",2,NA,"Uno o más casos"
"374","10029","San Luis del Cordero",0,NA,"0 casos"
"375","10030","San Pedro del Gallo",0,NA,"0 casos"
"376","10032","Santiago Papasquiaro",2,NA,"Uno o más casos"
"377","10006","General Simón Bolívar",2,NA,"Uno o más casos"
"378","10012","Lerdo",3,NA,"Uno o más casos"
"379","10017","Ocampo",0,NA,"0 casos"
"380","10009","Guanaceví",0,NA,"0 casos"
"381","10036","Tlahualilo",2,NA,"Uno o más casos"
"382","11009","Comonfort",2,NA,"Uno o más casos"
"383","11007","Celaya",55,NA,"Uno o más casos"
"384","11025","Purísima del Rincón",0,NA,"0 casos"
"385","11030","San Felipe",1,NA,"Uno o más casos"
"386","11045","Xichú",0,NA,"0 casos"
"387","11013","Doctor Mora",2,NA,"Uno o más casos"
"388","11034","Santa Catarina",0,0,"0 casos"
"389","11040","Tierra Blanca",0,NA,"0 casos"
"390","11041","Uriangato",7,NA,"Uno o más casos"
"391","11043","Victoria",0,NA,"0 casos"
"392","11006","Atarjea",1,NA,"Uno o más casos"
"393","11028","Salvatierra",14,NA,"Uno o más casos"
"394","11032","San José Iturbide",3,NA,"Uno o más casos"
"395","11024","Pueblo Nuevo",0,NA,"0 casos"
"396","11036","Santiago Maravatío",3,NA,"Uno o más casos"
"397","11004","Apaseo el Alto",2,NA,"Uno o más casos"
"398","11005","Apaseo el Grande",5,NA,"Uno o más casos"
"399","11046","Yuriria",6,NA,"Uno o más casos"
"400","11019","Jerécuaro",1,NA,"Uno o más casos"
"401","11039","Tarimoro",0,NA,"0 casos"
"402","11010","Coroneo",1,NA,"Uno o más casos"
"403","11038","Tarandacuao",1,NA,"Uno o más casos"
"404","11011","Cortazar",10,NA,"Uno o más casos"
"405","11002","Acámbaro",11,NA,"Uno o más casos"
"406","11003","San Miguel de Allende",11,NA,"Uno o más casos"
"407","11031","San Francisco del Rincón",3,NA,"Uno o más casos"
"408","11008","Manuel Doblado",0,NA,"0 casos"
"409","11012","Cuerámaro",0,NA,"0 casos"
"410","11042","Valle de Santiago",10,NA,"Uno o más casos"
"411","11033","San Luis de la Paz",24,NA,"Uno o más casos"
"412","11023","Pénjamo",5,NA,"Uno o más casos"
"413","11037","Silao de la Victoria",11,NA,"Uno o más casos"
"414","11001","Abasolo",3,NA,"Uno o más casos"
"415","11016","Huanímaro",0,NA,"0 casos"
"416","11029","San Diego de la Unión",2,NA,"Uno o más casos"
"417","11044","Villagrán",1,NA,"Uno o más casos"
"418","11035","Santa Cruz de Juventino Rosas",7,NA,"Uno o más casos"
"419","11027","Salamanca",65,NA,"Uno o más casos"
"420","11017","Irapuato",41,NA,"Uno o más casos"
"421","11026","Romita",13,NA,"Uno o más casos"
"422","11015","Guanajuato",13,NA,"Uno o más casos"
"423","11020","León",196,NA,"Uno o más casos"
"424","11018","Jaral del Progreso",3,NA,"Uno o más casos"
"425","11022","Ocampo",0,NA,"0 casos"
"426","11021","Moroleón",9,NA,"Uno o más casos"
"427","11014","Dolores Hidalgo Cuna de la Independencia Nacional",2,NA,"Uno o más casos"
"428","12006","Apaxtla",0,NA,"0 casos"
"429","12017","Cocula",1,NA,"Uno o más casos"
"430","12026","Cuetzala del Progreso",1,NA,"Uno o más casos"
"431","12028","Chilapa de Álvarez",9,NA,"Uno o más casos"
"432","12029","Chilpancingo de los Bravo",68,NA,"Uno o más casos"
"433","12031","General Canuto A. Neri",0,NA,"0 casos"
"434","12032","General Heliodoro Castillo",0,NA,"0 casos"
"435","12034","Huitzuco de los Figueroa",0,NA,"0 casos"
"436","12039","Juan R. Escudero",9,NA,"Uno o más casos"
"437","12040","Leonardo Bravo",0,NA,"0 casos"
"438","12042","Mártir de Cuilapan",3,NA,"Uno o más casos"
"439","12044","Mochitlán",0,NA,"0 casos"
"440","12051","Quechultenango",1,NA,"Uno o más casos"
"441","12053","San Marcos",3,NA,"Uno o más casos"
"442","12056","Tecoanapa",0,NA,"0 casos"
"443","12058","Teloloapan",2,NA,"Uno o más casos"
"444","12059","Tepecoacuilco de Trujano",2,NA,"Uno o más casos"
"445","12061","Tixtla de Guerrero",8,NA,"Uno o más casos"
"446","12074","Zitlala",1,NA,"Uno o más casos"
"447","12075","Eduardo Neri",1,NA,"Uno o más casos"
"448","12035","Iguala de la Independencia",53,NA,"Uno o más casos"
"449","12021","Coyuca de Benítez",11,NA,"Uno o más casos"
"450","12005","Alpoyeca",0,NA,"0 casos"
"451","12008","Atenango del Río",1,NA,"Uno o más casos"
"452","12009","Atlamajalcingo del Monte",0,NA,"0 casos"
"453","12010","Atlixtac",0,NA,"0 casos"
"454","12012","Ayutla de los Libres",3,NA,"Uno o más casos"
"455","12013","Azoyú",0,0,"0 casos"
"456","12018","Copala",1,NA,"Uno o más casos"
"457","12019","Copalillo",0,NA,"0 casos"
"458","12020","Copanatoyac",0,NA,"0 casos"
"459","12024","Cualác",0,NA,"0 casos"
"460","12025","Cuautepec",0,NA,"0 casos"
"461","12030","Florencio Villarreal",0,NA,"0 casos"
"462","12033","Huamuxtitlán",4,NA,"Uno o más casos"
"463","12036","Igualapa",0,0,"0 casos"
"464","12041","Malinaltepec",0,0,"0 casos"
"465","12045","Olinalá",1,NA,"Uno o más casos"
"466","12046","Ometepec",0,0,"0 casos"
"467","12052","San Luis Acatlán",0,NA,"0 casos"
"468","12063","Tlacoapa",0,0,"0 casos"
"469","12066","Tlapa de Comonfort",20,NA,"Uno o más casos"
"470","12069","Xalpatláhuac",1,NA,"Uno o más casos"
"471","12070","Xochihuehuetlán",13,NA,"Uno o más casos"
"472","12071","Xochistlahuaca",0,NA,"0 casos"
"473","12072","Zapotitlán Tablas",0,0,"0 casos"
"474","12076","Acatepec",0,NA,"0 casos"
"475","12077","Marquelia",0,NA,"0 casos"
"476","12079","José Joaquín de Herrera",0,NA,"0 casos"
"477","12080","Juchitán",0,0,"0 casos"
"478","12081","Iliatenco",0,0,"0 casos"
"479","12023","Cuajinicuilapa",0,0,"0 casos"
"480","12062","Tlacoachistlahuaca",0,NA,"0 casos"
"481","12065","Tlalixtaquilla de Maldonado",0,NA,"0 casos"
"482","12004","Alcozauca de Guerrero",0,NA,"0 casos"
"483","12043","Metlatónoc",0,NA,"0 casos"
"484","12078","Cochoapa el Grande",0,0,"0 casos"
"485","12002","Ahuacuotzingo",2,NA,"Uno o más casos"
"486","12048","Petatlán",1,NA,"Uno o más casos"
"487","12003","Ajuchitlán del Progreso",1,NA,"Uno o más casos"
"488","12007","Arcelia",6,NA,"Uno o más casos"
"489","12011","Atoyac de Álvarez",2,NA,"Uno o más casos"
"490","12014","Benito Juárez",1,NA,"Uno o más casos"
"491","12016","Coahuayutla de José María Izazaga",0,NA,"0 casos"
"492","12027","Cutzamala de Pinzón",2,NA,"Uno o más casos"
"493","12054","San Miguel Totolapan",0,NA,"0 casos"
"494","12057","Técpan de Galeana",0,NA,"0 casos"
"495","12064","Tlalchapa",0,NA,"0 casos"
"496","12067","Tlapehuala",0,NA,"0 casos"
"497","12022","Coyuca de Catalán",1,NA,"Uno o más casos"
"498","12073","Zirándaro",0,NA,"0 casos"
"499","12068","La Unión de Isidoro Montes de Oca",11,NA,"Uno o más casos"
"500","12037","Ixcateopan de Cuauhtémoc",0,NA,"0 casos"
"501","12047","Pedro Ascencio Alquisiras",0,NA,"0 casos"
"502","12049","Pilcaya",1,NA,"Uno o más casos"
"503","12060","Tetipac",0,NA,"0 casos"
"504","12055","Taxco de Alarcón",33,NA,"Uno o más casos"
"505","12015","Buenavista de Cuéllar",3,NA,"Uno o más casos"
"506","12050","Pungarabato",5,NA,"Uno o más casos"
